kind,formal_entry,stage,contract_or_tool,surface_or_scope,construction_path,tests_or_fixture,execution_prepare_consume_assertion,status,notes
Agent,Conversation Main,ADK,conversation_turn_response,conversation,ConversationRuntime.RunMain -> RunADKStructuredTask,TestProviderConversationUsesADKLoopAndReturnsCanonicalTrace;TestRunADKLoopExecutesCapabilityAndFeedsResultBack,Runner feedback pair and trace projection covered;final settlement conditional,Database HandleTurn case is separately blocked when GO_CORE_TEST_DATABASE_URL is absent
Agent,Takeover Reply,ADK,takeover_reply_response,conversation,ConversationRuntime.RunTakeoverReply -> RunADKStructuredTask,TestProviderTakeoverReplyUsesADKLoopAndPreservesTrace;turn_takeover_chain_test.go,Runner feedback pair and B owner scope covered;settlement conditional,No extra continuation allowed
Agent,WakeUp,ADK,wake_up_response,wake_up,ProcessWakeUp -> RunADKStructuredTask,TestProviderWakeUpUsesADKLoopAndPreservesTrace;TestAppADKInvokerUsesWakeUpSurface;wakeup_intents_test.go,Tool result pair trace and deferred boundary covered;workflow/database conditional,WakeUp trace retained for later freeze
Task,Initialization,Fixed,initialization,initialization,RunInitializationTask,initialization_contract_test.go;provider schema tests,DTO/schema/invalid output unit coverage,covered,No Agent loop added
Task,Media Prompt,Fixed,media_prompt,media_prompt,RunMediaPromptTask,media_context_test.go;media tests,Prompt format and context unit coverage,covered,External provider execution conditional
Task,Media Quality,Fixed,media_quality_acceptance_response,media,RunMediaQualityTask,media_quality tests;action_outcome_test.go,Schema and outcome boundary coverage,covered,No ADK feedback loop
Task,Visual Identity Vision/Patch,Fixed,visual_identity_vision_response;visual_identity_patch_response,visual_identity,RunVisualIdentityVisionTask/RunVisualIdentityPatchTask,visual_identity_test.go;media_test.go,Schema/stage/settlement unit coverage,covered,Workflow completion conditional
Task,Conversation Summary,Fixed,conversation_summary_v1,summary,RunConversationSummaryTask,conversation_summary_test.go,Source range/schema/replay unit coverage,covered,Temporal replay conditional
Task,Schedule Generation/Replan,Fixed,schedule_response;schedule_replan_plan,schedule,RunScheduleGenerationTask/RunScheduleReplanTask,schedule_generation_test.go;schedule_replan_test.go,Schema/planner/revision validation coverage,covered,Database settlement conditional
Task,Native Cognition,Fixed,native_cognition_response,native_cognition,RunNativeCognitionTask,TestADKLoopSchemaMatrixKeepsBackgroundSingleTasksOut;project_health_transaction_integration_test.go,No ADK loop; capability-only and retry paths mapped,conditional,PostgreSQL integration is blocked without isolated DB
Task,Daily Review,Fixed,daily_review_response,autonomy,RunDailyReviewTask,TestADKLoopSchemaMatrixKeepsBackgroundSingleTasksOut;autonomy_policy_test.go,No ADK loop; policy/catalog path mapped,conditional,PostgreSQL/Temporal integration is blocked
Task,Persistent Switch/Judge,Fixed,persistent_switch_assessment;takeover_judgement_response,policy,RunPersistentSwitchTask/RunTakeoverJudge,persistent_switch_assessment_test.go;takeover_scope_matrix_test.go,No tools and policy-only boundary covered,covered,No model ToolCall exposure
Task,Reflection,Fixed,reflection_proposal_v2,reflection,RunReflectionProposalTask,reflection_*_test.go;TestADKLoopSchemaMatrixKeepsBackgroundSingleTasksOut,Proposal/schema/evidence boundary covered,covered,Workflow application conditional
Task,Embedding,Fixed,embedding/vector,memory,RunEmbeddingTask/RunFrozenEmbeddingTask,memory_embedding/lifecycle tests,Dimension/frozen assignment contract mapped,conditional,Provider/database integration conditional
Tool,conversation.reply,Capability,conversation.reply,conversation/wake_up/autonomy,ADKCapabilityTool -> invoker -> deferred output,wakeup_intents_test.go;turn_takeover_chain_test.go;TestPhase8ModelVisibleCapabilitiesHaveRealEinoAdapters,Info/schema/deferred result/output binding mapped,conditional,Final durable message requires isolated DB
Tool,moment.publish,Capability,moment.publish,wake_up/autonomy,ADKCapabilityTool -> deferred output,TestMomentPublishCapabilityIsRegisteredDeferredOutput;TestAppADKInvokerUsesWakeUpSurface,Info/schema/deferred result/target binding mapped,conditional,Final Moment transaction requires isolated DB
Tool,media.image.generate,Capability,media.image.generate,conversation/wake_up/autonomy/native_cognition,ADKCapabilityTool -> Prepare -> media intent,TestImageCapabilityPrepareConsumesResolvedContext;conversation_mixed_media_reply_test.go,Info/schema/Prepare/context mapped,conditional,Media intent/outbox integration conditional
Tool,visual_identity.initialize,Capability,visual_identity.initialize,wake_up/native_cognition,ADKCapabilityTool -> visual workflow intent,TestDefaultCapabilityRegistryIncludesVisualIdentityInitializer;TestPhase8ProductionCapabilityMatrixIsExplicitAndStable,Visibility/source policy and adapter mapped,conditional,Workflow intent commit conditional
Tool,scene_event,Capability,scene_event,conversation/wake_up/autonomy/native_cognition,ADKCapabilityTool -> life context transaction,TestSceneAndPresenceCapabilitiesUseFrozenLifeContextAndActor;life_context_authority_test.go,Prepare/revision/replay mapped,conditional,PostgreSQL transaction conditional
Tool,presence_event,Capability,presence_event,conversation/wake_up/autonomy/native_cognition,ADKCapabilityTool -> life context transaction,TestOwnerPresenceReplacementExpiryAndReplayNeverResurrects;life_context_authority_test.go,Prepare/revision/replay mapped,conditional,PostgreSQL transaction conditional
Tool,schedule.replan,Capability,schedule.replan,conversation/wake_up/autonomy/native_cognition,ADKCapabilityTool -> planner -> schedule transaction,TestScheduleReplanDefinitionKeepsPlannerInputThin;TestSchedulePlannerRejectsInvalidOutputWithoutHeuristicFallback,Schema/planner rejection mapped,conditional,PostgreSQL CAS conditional
Tool,memory_event,Capability,memory_event,conversation/wake_up/autonomy/native_cognition,ADKCapabilityTool -> Prepare -> memory transaction,capability_transaction_integration_test.go;memory_lifecycle_test.go,Prepare/rollback/idempotency mapped,conditional,Isolated PostgreSQL required for final commit
Tool,active_memory_event,Capability,active_memory_event,conversation/wake_up/autonomy/native_cognition,ADKCapabilityTool -> Prepare -> active memory transaction,active_memory_test.go;memory_lifecycle_test.go,Opaque target/replay/schema mapped,conditional,Isolated PostgreSQL required for final commit
Tool,memory.recall,Capability,memory.recall,conversation,ADKCapabilityTool -> pure query -> next model input,TestRunADKLoopExecutesCapabilityAndFeedsResultBack;memory_recall_capability_test.go,Actual Eino feedback pair and query result covered,covered,No durable write
Tool,affect_event,Capability,affect_event,conversation/wake_up/autonomy,ADKCapabilityTool -> affect transaction,affect_capability_test.go;capability_transaction_integration_test.go,Schema/evidence/rollback mapped,conditional,PostgreSQL transaction conditional
Tool,relationship.lookup,Capability,relationship.lookup,conversation/wake_up/autonomy/native_cognition,ADKCapabilityTool -> pure query,TestProviderWakeUpUsesADKLoopAndPreservesTrace;TestRelationshipLookupCapabilityIsReadOnly,Actual WakeUp query feedback and read-only contract covered,covered,Scope/owner integration conditional
Tool,capability.request,Capability,capability.request,conversation/wake_up/autonomy/native_cognition,ADKCapabilityTool -> governance proposal,TestCapabilityRequestIsAdvertisedAsOptionalToolAction;TestCapabilityRequestDoesNotRewriteIntoConversationReply,Schema/optional policy boundary covered,conditional,Durable governance commit conditional
Policy,persona.takeover,Policy,persona.takeover,policy-only,executePersonaPolicyAction,TestPersonaPolicyCapabilitiesStayOutOfConversationCatalog;TestPersonaPolicyInvocationUsesStablePolicyIdentity,Authorized policy invocation and model invisibility covered,covered,Not an Eino model Tool
Policy,persona.switch,Policy,persona.switch,policy-only,executePersonaPolicyAction,TestPhase8CandidateGateRejectsPolicyOnlyCapabilities;persona_action_capabilities_test.go,Policy-only rejection and stable identity covered,covered,Not an Eino model Tool
