id,stage,requirement,scope,implementation,test,evidence,status,notes
S1-MODEL-01,S1,"Official Eino ChatModel/Embedder construction","all model calls","apps/core-go/internal/core/eino_model_runtime.go:1-280","evidence/tests/S1-eino-prompt-queue.txt; core full test","evidence/code/S1-model-runtime.txt",PASS,"Deterministic factory and multimodal/embedding unit coverage"
S1-MODEL-02,S1,"Per-call queue, cancellation and diagnostics boundary","provider calls and ADK physical calls","apps/core-go/internal/core/provider_queue.go; diagnostics.go; eino_model_runtime.go","evidence/tests/S1-eino-prompt-queue.txt; commands/010-core-full-test.txt","evidence/code/S1-model-runtime.txt",PASS,"L1 tests pass; durable DB audit lifecycle remains blocked below"
S1-MODEL-03,S1,"Prompt Composer/fragment budget and required overflow","Main and task-scoped prompt assembly","apps/core-go/internal/core/prompt_context_assembler.go; provider_context.go; provider_prompt_composer.go","evidence/tests/S1-eino-prompt-queue.txt","evidence/code/S1-model-runtime.txt",PASS,"Explicit slot, whole-turn, cancellation and required-budget tests pass"
S1-MODEL-04,S1,"Prompt/task isolation across surfaces","conversation/background/media/reflection","apps/core-go/internal/core/provider_context.go; model_tasks.go","commands/015-static-scan.txt; evidence/tests/S1-eino-prompt-queue.txt","evidence/code/S1-model-runtime.txt",PASS,"Static and deterministic evidence; no cross-surface runtime integration"
S1-TASK-01,S1,"Independent Task boundaries exist for structured/text/stream/embedding","all non-loop tasks","apps/core-go/internal/core/model_tasks.go","commands/010-core-full-test.txt","evidence/code/S1-model-runtime.txt",PASS,"Code path present and full unit suite passes"
S1-TASK-02,S1,"Direct contract tests for every Task wrapper","Task wrapper API surface","apps/core-go/internal/core/model_tasks.go","test inventory from current suite","evidence/tests/S1-eino-prompt-queue.txt",NOT_RUN,"No standalone contract test for every wrapper was found"
S1-REAL-01,S1,"Configured real Provider/Embedding compatibility","L4 external model behavior","Provider live tests and external endpoints","commands/002-environment.txt; commands/013-web-and-client.txt",BLOCKED,"No live Provider/API key/test endpoint supplied"
S2-LOOP-01,S2,"Formal ADK Runner/Agent is the conversation loop","Main and takeover B","apps/core-go/internal/core/adk_conversation_runtime.go","evidence/tests/S1-eino-prompt-queue.txt; evidence/tests/S2-adk-persona.txt","evidence/code/S2-adk-runtime.txt",PASS,"Fake model/tool Runner tests pass"
S2-LOOP-02,S2,"ToolCall -> Capability -> matching tool result -> next generation","Main conversation","apps/core-go/internal/core/adk_conversation_runtime.go; tool_contract.go","evidence/tests/S1-eino-prompt-queue.txt; evidence/tests/S2-adk-persona.txt","evidence/code/S2-adk-runtime.txt",PASS,"Formal ID/source and result feedback tests pass"
S2-LOOP-03,S2,"Failure/cancellation/iteration cap fail closed","ADK runtime","apps/core-go/internal/core/adk_conversation_runtime.go","evidence/tests/S1-eino-prompt-queue.txt","evidence/tests/S1-eino-prompt-queue.txt",PASS,"Fake failure/cancel/cap tests pass"
