id,stage,requirement,scope,implementation,test,evidence,status,notes
G0-TOOL,G0,Executable checker rejects false green evidence,acceptance tool,infra/acceptance/verify-phase5-evidence.mjs; infra/acceptance/run-phase5-gates.sh,infra/acceptance/verify-phase5-evidence.test.mjs,evidence/tests/G0-self-tests.txt; evidence/commands/G0-gate.txt,PASS,"Five negative fixtures pass; checker validates CSV, paths, statuses, execution exit code and conditional skips"
F-01,F,Task and model runtime support do not reverse-depend on App,model queue diagnostics and Task boundary,apps/core-go/internal/core/provider_runtime_support.go; model_tasks.go; provider.go,provider_runtime_boundary_test.go; G1-task-boundary.txt,evidence/code/F01-provider-boundary.txt; evidence/tests/G1-task-boundary.txt,PASS,"Narrow support is wired at composition root and concrete Task boundaries own prompt/schema/parse"
F-02,F,BFF migration aliases and snake/camel dual reads are removed,browser boundary,apps/core-go/internal/httpapi/browser/routes.go; dto.go,compatibility_cleanup_test.go; F02-browser-full.txt,evidence/code/F02-browser-compatibility.txt; evidence/tests/F02-browser-compatibility.txt,PASS,"Formal DTO mappings remain; migration aliases and guessed fields are absent"
F-03,F,Joint business/database/background/browser/provider regression coverage,full Phase 5 regression,apps/core-go/internal/core/mutations.go; cognition.go; wakeup.go; workflow; browser,HandleTurn DB; Temporal workflow; browser smoke,evidence/tests/G3-handle-turn-db.txt; evidence/runtime/G3-temporal-active-workflow.txt; evidence/runtime/G3-browser-smoke.txt,BLOCKED,"HandleTurn and Temporal pass; full business leaf matrix, browser business chain and real Provider remain unavailable"
F-04,F,Acceptance CSV and evidence matrix cannot claim false PASS,CSV/evidence gate,infra/acceptance/verify-phase5-evidence.mjs; phase5-required-tests.json,G0 checker negative tests; matrix re-read,evidence/tests/G0-self-tests.txt; evidence/commands/G0-gate.txt,PASS,"Standard CSV and evidence path checks pass; clear gate remains nonzero for real blockers"
F-05,F,Test selector and execution completeness,"parent PASS cannot hide child SKIP",infra/acceptance/collect-go-test-events.mjs; run-phase5-gates.sh,"JSON events and conditional skip checks",commands/g0-required-go-test.jsonl; executions.json,PASS,"Required/conditional sets are explicit; child SKIP is not accepted as required PASS"
F-06,F,Prompt/Task/persona/settlement/runtime/snapshot evidence,offline and live evidence,apps/core-go/internal/core/model_tasks.go; provider_context.go; provider_prompt_composer.go,offline Task/Prompt tests; final source/evidence hashes,evidence/code/G1-task-prompt-contract.txt; evidence/tests/G1-task-boundary.txt; manifest.json,BLOCKED,"Offline composition/budget/Task checks pass; complete real-card cost and joint runtime snapshot remain unavailable"
R2-01,R,Judge-before-execute validates real capability parameters against frozen scope,turn takeover authorization,apps/core-go/internal/core/capability_runtime.go; builtin_capabilities.go; turn_takeover.go,turn_takeover_f02_test.go,evidence/tests/R2-01-capability-auth.txt; evidence/tests/R2-01-capability-auth-db.txt,PASS,"relationship target, surface, identity, target kind and required slots are checked before Judge; disposable DB chain completed without Judge"
R2-02,R,Real dense card prose is not silently executed and typed migration is separately verified,typed takeover migration,apps/core-go/internal/core/persona_switch_rules.go; testdata/initialization,persona switch fixture tests,evidence/tests/F03-typed-migration.txt,BLOCKED,"Fixed fixture passes; live Provider output for dense_multi_card.txt is not configured"
R2-03,R,Overlay read/compose failure is distinct from no-overlay baseline,Judge control view,apps/core-go/internal/core/turn_takeover.go; takeover_scope.go,turn_takeover_f05_test.go,evidence/tests/F04-F05-db.txt; evidence/tests/R2-03-overlay-production.txt,PASS,"Existing architecture contract explicitly records judge_degraded/keep-A; production turn preserves A once, keeps owners, skips Judge and never uses stale baseline"
R2-04,R,Offline Prompt cost checks are separate from live usage/cache/latency,Prompt evidence,apps/core-go/internal/core/prompt_context_assembler.go; provider_context.go,offline assembly/budget tests; live Provider gate,evidence/code/G1-task-prompt-contract.txt; evidence/tests/R2-04-offline-prompt.txt,BLOCKED,"Offline bytes/estimated tokens/tools/schema/output reserve pass; live usage/cache/latency are not available"
R2-05,R,Second-review mapping and report statuses are internally consistent,report/matrix/manifest,docs/verification/remediation/20260919T213432+0800,verify-phase5-evidence.mjs; manifest hash check,remediation-report.md; manifest.json; executions.json,PASS,"Original F-01..F-06 identities are restored; R2 findings are independently numbered"
R-01,R,Stream lease and cancellation live through physical EOF,provider streaming,apps/core-go/internal/core/eino_model_runtime.go; provider_queue.go,provider_stream_lifecycle_test.go,evidence/tests/R01-after-fix.txt; evidence/code/R01-stream-lifecycle.txt,PASS,"Lease remains held until EOF/Close; cancellation closes inner reader; race suite passes"
R-02,R,Final empty assistant cannot reuse earlier candidate,ADK conversation loop,apps/core-go/internal/core/adk_conversation_runtime.go; eino_model_runtime.go,eino_adk_runtime_test.go; production DB HandleTurn,evidence/tests/R02-after-fix.txt; evidence/tests/G3-handle-turn-db.txt,PASS,"Final assistant event is authoritative; intermediate output reply filtering preserves non-output/final calls"
R2-06,R,Life Context authority survives surface projection and stale settlement remains fail-closed,Conversation/WakeUp/Daily Review Life Context,apps/core-go/internal/core/provider_context.go; life_context*.go,focused Life Context projection/e2e/surface tests,evidence/code/L1-life-context-authority.txt; evidence/tests/L1-life-context-authority.txt,PASS,"Opaque refs and the valid life_ctx revision reach model-visible surfaces; raw database identifiers remain filtered"
R2-07,R,Deferred or rejected action-only ADK rounds do not create an unconditional second Provider request,ADK conversation/WakeUp/tool loop,apps/core-go/internal/core/eino_model_runtime.go; eino_adk_runtime_test.go,focused ADK deferred-round tests,evidence/code/R2-06-adk-deferred-round.txt; evidence/tests/R2-06-adk-deferred-round.txt,PASS,"Deferred/rejected action rounds close with the frozen proposal; completed pure queries still continue and visible-text policy remains bounded"
G3-DB,G3,Isolated DB formal HandleTurn and transaction path,PostgreSQL + Fake Provider,apps/core-go/internal/core/mutations.go; cognition.go,production HandleTurn DB test,evidence/tests/G3-handle-turn-db.txt,PASS,"Disposable pgvector database migrated to head; formal HandleTurn settled one assistant"
G3-TEMPORAL,G3,Worker Temporal dispatch and lifecycle smoke,Temporal + Redis + MinIO + Worker,infra/acceptance/run-go-active-workflow.sh,disposable active workflow,evidence/runtime/G3-temporal-active-workflow.txt,PASS,"Unique Compose project completed PlatformControlWorkflow with historyLength and deployment version"
G3-BROWSER,G3,No-BFF browser login and actor conversation smoke,Web + Core + isolated data,infra/acceptance/run-go-actor-chat-smoke.sh,actor chat smoke,evidence/runtime/G3-browser-smoke.txt,BLOCKED,"Compose build reached registry TLS timeout; no browser/business result is claimed"
G3-PROVIDER,G3,Configured real Provider and Embedding compatibility,live external model,infra/acceptance/run-go-live-provider-smoke.sh,live Provider smoke,evidence/commands/G3-environment.txt,BLOCKED,"No authorized live endpoint, model or API key was present"
